id,device,timestamp,sensor_type,value,lat,lon,is_deleted
47290,33,2025-07-03 18:37:01,CO2 ,350.0,31.76494,117.2648,0
47289,33,2025-07-03 18:37:01,CH4,0.0,31.76494,117.2648,0
47288,33,2025-07-03 18:36:59,CO2 ,350.0,31.76494,117.2648,0
47287,33,2025-07-03 18:36:59,CH4,0.0,31.76494,117.2648,0
47286,33,2025-07-03 18:36:58,CO2 ,350.0,31.76494,117.2648,0
47285,33,2025-07-03 18:36:58,CH4,0.0,31.76494,117.2648,0
47284,33,2025-07-03 18:36:57,CO2 ,-2.0,31.76494,117.2648,0
47283,33,2025-07-03 18:36:57,CH4,0.0,31.76494,117.2648,0
47282,33,2025-07-03 18:36:56,CO2 ,350.0,31.76494,117.2648,0
47281,33,2025-07-03 18:36:56,CH4,0.0,31.76494,117.2648,0
47280,33,2025-07-03 18:36:54,CO2 ,350.0,31.76494,117.2648,0
47279,33,2025-07-03 18:36:54,CH4,0.0,31.76494,117.2648,0
47278,33,2025-07-03 18:36:53,CO2 ,350.0,31.76494,117.2648,0
47277,33,2025-07-03 18:36:53,CH4,0.0,31.76494,117.2648,0
47276,33,2025-07-03 18:36:52,CO2 ,350.0,31.76494,117.2648,0
47275,33,2025-07-03 18:36:52,CH4,0.0,31.76494,117.2648,0
47274,33,2025-07-03 18:36:51,CO2 ,350.0,31.76494,117.2648,0
47273,33,2025-07-03 18:36:51,CH4,0.0,31.76494,117.2648,0
47272,33,2025-07-03 18:36:49,CO2 ,350.0,31.76494,117.2648,0
47271,33,2025-07-03 18:36:49,CH4,0.0,31.76494,117.2648,0
47270,33,2025-07-03 18:36:48,CO2 ,350.0,31.76494,117.2648,0
47269,33,2025-07-03 18:36:48,CH4,0.0,31.76494,117.2648,0
47268,33,2025-07-03 18:36:47,CO2 ,350.0,31.76494,117.2648,0
47267,33,2025-07-03 18:36:47,CH4,0.0,31.76494,117.2648,0
47266,33,2025-07-03 18:36:46,CO2 ,350.0,31.76494,117.2648,0
47265,33,2025-07-03 18:36:46,CH4,0.0,31.76494,117.2648,0
47264,33,2025-07-03 18:36:44,CO2 ,350.0,31.76494,117.2648,0
47263,33,2025-07-03 18:36:44,CH4,0.0,31.76494,117.2648,0
47262,33,2025-07-03 18:36:43,CO2 ,350.0,31.76494,117.2648,0
47261,33,2025-07-03 18:36:43,CH4,0.0,31.76494,117.2648,0
47260,33,2025-07-03 18:36:42,CO2 ,350.0,31.76494,117.2648,0
47259,33,2025-07-03 18:36:42,CH4,0.0,31.76494,117.2648,0
47258,33,2025-07-03 18:36:41,CO2 ,-2.0,31.76494,117.2648,0
47257,33,2025-07-03 18:36:41,CH4,0.0,31.76494,117.2648,0
47256,33,2025-07-03 18:36:39,CO2 ,350.0,31.76494,117.2648,0
47255,33,2025-07-03 18:36:39,CH4,0.0,31.76494,117.2648,0
47254,33,2025-07-03 18:36:38,CO2 ,350.0,31.76494,117.2648,0
47253,33,2025-07-03 18:36:38,CH4,0.0,31.76494,117.2648,0
47252,33,2025-07-03 18:36:37,CO2 ,350.0,31.76494,117.2648,0
47251,33,2025-07-03 18:36:37,CH4,0.0,31.76494,117.2648,0
47250,33,2025-07-03 18:36:36,CO2 ,350.0,31.76494,117.2648,0
47249,33,2025-07-03 18:36:36,CH4,0.0,31.76494,117.2648,0
47248,33,2025-07-03 18:36:34,CO2 ,350.0,31.76494,117.2648,0
47247,33,2025-07-03 18:36:34,CH4,0.0,31.76494,117.2648,0
47246,33,2025-07-03 18:36:33,CO2 ,350.0,31.76494,117.2648,0
47245,33,2025-07-03 18:36:33,CH4,0.0,31.76494,117.2648,0
47244,33,2025-07-03 18:36:32,CO2 ,352.0,31.76494,117.2648,0
47243,33,2025-07-03 18:36:32,CH4,0.0,31.76494,117.2648,0
47242,33,2025-07-03 18:36:31,CO2 ,351.0,31.76494,117.2648,0
47241,33,2025-07-03 18:36:31,CH4,0.0,31.76494,117.2648,0
47240,33,2025-07-03 18:36:29,CO2 ,350.0,31.76494,117.2648,0
