id,device,timestamp,sensor_type,value,lat,lon,is_deleted
44289,30,2025-07-03 18:17:07,CH4,0.0,0.0,0.0,0
44284,30,2025-07-03 18:17:05,CO2 ,350.0,0.0,0.0,0
44283,30,2025-07-03 18:17:05,CH4,0.0,0.0,0.0,0
44274,30,2025-07-03 18:17:04,CO2 ,350.0,0.0,0.0,0
44273,30,2025-07-03 18:17:04,CH4,0.0,0.0,0.0,0
44270,30,2025-07-03 18:17:03,CO2 ,350.0,0.0,0.0,0
44269,30,2025-07-03 18:17:03,CH4,0.0,0.0,0.0,0
44262,30,2025-07-03 18:17:01,CO2 ,351.0,0.0,0.0,0
44261,30,2025-07-03 18:17:01,CH4,0.0,0.0,0.0,0
44250,30,2025-07-03 18:17:00,CO2 ,350.0,0.0,0.0,0
44249,30,2025-07-03 18:17:00,CH4,0.0,0.0,0.0,0
44242,30,2025-07-03 18:16:59,CO2 ,-2.0,0.0,0.0,0
44241,30,2025-07-03 18:16:59,CH4,0.0,0.0,0.0,0
44234,30,2025-07-03 18:16:57,CO2 ,351.0,0.0,0.0,0
44233,30,2025-07-03 18:16:57,CH4,0.0,0.0,0.0,0
44228,30,2025-07-03 18:16:56,CO2 ,351.0,0.0,0.0,0
44227,30,2025-07-03 18:16:56,CH4,0.0,0.0,0.0,0
44222,30,2025-07-03 18:16:55,CO2 ,351.0,0.0,0.0,0
44221,30,2025-07-03 18:16:55,CH4,0.0,0.0,0.0,0
44216,30,2025-07-03 18:16:54,CO2 ,350.0,0.0,0.0,0
44215,30,2025-07-03 18:16:54,CH4,0.0,0.0,0.0,0
44210,30,2025-07-03 18:16:52,CO2 ,350.0,0.0,0.0,0
44209,30,2025-07-03 18:16:52,CH4,0.0,0.0,0.0,0
44202,30,2025-07-03 18:16:51,CO2 ,351.0,0.0,0.0,0
44201,30,2025-07-03 18:16:51,CH4,0.0,0.0,0.0,0
44198,30,2025-07-03 18:16:50,CO2 ,350.0,0.0,0.0,0
44197,30,2025-07-03 18:16:50,CH4,0.0,0.0,0.0,0
44194,30,2025-07-03 18:16:49,CO2 ,350.0,0.0,0.0,0
44193,30,2025-07-03 18:16:49,CH4,0.0,0.0,0.0,0
44188,30,2025-07-03 18:16:48,CO2 ,351.0,0.0,0.0,0
44187,30,2025-07-03 18:16:47,CH4,0.0,0.0,0.0,0
44176,30,2025-07-03 18:16:46,CO2 ,350.0,0.0,0.0,0
44175,30,2025-07-03 18:16:46,CH4,0.0,0.0,0.0,0
44172,30,2025-07-03 18:16:45,CO2 ,350.0,0.0,0.0,0
44171,30,2025-07-03 18:16:45,CH4,0.0,0.0,0.0,0
44164,30,2025-07-03 18:16:44,CO2 ,-2.0,0.0,0.0,0
44163,30,2025-07-03 18:16:44,CH4,0.0,0.0,0.0,0
44154,30,2025-07-03 18:16:42,CO2 ,350.0,0.0,0.0,0
44153,30,2025-07-03 18:16:42,CH4,0.0,0.0,0.0,0
44148,30,2025-07-03 18:16:41,CO2 ,350.0,0.0,0.0,0
44147,30,2025-07-03 18:16:41,CH4,0.0,0.0,0.0,0
44138,30,2025-07-03 18:16:40,CO2 ,350.0,0.0,0.0,0
44137,30,2025-07-03 18:16:40,CH4,0.0,0.0,0.0,0
44132,30,2025-07-03 18:16:39,CO2 ,350.0,0.0,0.0,0
44131,30,2025-07-03 18:16:39,CH4,0.0,0.0,0.0,0
44124,30,2025-07-03 18:16:38,CO2 ,350.0,0.0,0.0,0
44123,30,2025-07-03 18:16:38,CH4,0.0,0.0,0.0,0
44116,30,2025-07-03 18:16:36,CO2 ,350.0,0.0,0.0,0
44115,30,2025-07-03 18:16:36,CH4,0.0,0.0,0.0,0
44110,30,2025-07-03 18:16:35,CO2 ,351.0,0.0,0.0,0
44109,30,2025-07-03 18:16:35,CH4,0.0,0.0,0.0,0
44104,30,2025-07-03 18:16:34,CO2 ,355.0,0.0,0.0,0
44103,30,2025-07-03 18:16:34,CH4,0.0,0.0,0.0,0
44096,30,2025-07-03 18:16:32,CO2 ,352.0,0.0,0.0,0
44095,30,2025-07-03 18:16:32,CH4,0.0,0.0,0.0,0
44086,30,2025-07-03 18:16:31,CO2 ,353.0,0.0,0.0,0
44085,30,2025-07-03 18:16:31,CH4,0.0,0.0,0.0,0
44078,30,2025-07-03 18:16:30,CO2 ,354.0,0.0,0.0,0
44077,30,2025-07-03 18:16:30,CH4,0.0,0.0,0.0,0
44072,30,2025-07-03 18:16:29,CO2 ,354.0,0.0,0.0,0
44071,30,2025-07-03 18:16:29,CH4,0.0,0.0,0.0,0
44062,30,2025-07-03 18:16:27,CO2 ,-2.0,0.0,0.0,0
44061,30,2025-07-03 18:16:27,CH4,0.0,0.0,0.0,0
44052,30,2025-07-03 18:16:24,CO2 ,352.0,0.0,0.0,0
44051,30,2025-07-03 18:16:24,CH4,0.0,0.0,0.0,0
44046,30,2025-07-03 18:16:23,CO2 ,352.0,0.0,0.0,0
44045,30,2025-07-03 18:16:23,CH4,0.0,0.0,0.0,0
44034,30,2025-07-03 18:16:19,CO2 ,352.0,0.0,0.0,0
44033,30,2025-07-03 18:16:19,CH4,0.0,0.0,0.0,0
44028,30,2025-07-03 18:16:17,CO2 ,350.0,0.0,0.0,0
44027,30,2025-07-03 18:16:17,CH4,0.0,0.0,0.0,0
44024,30,2025-07-03 18:16:16,CO2 ,351.0,0.0,0.0,0
44023,30,2025-07-03 18:16:16,CH4,0.0,0.0,0.0,0
44020,30,2025-07-03 18:16:15,CO2 ,352.0,0.0,0.0,0
44019,30,2025-07-03 18:16:15,CH4,0.0,0.0,0.0,0
44014,30,2025-07-03 18:16:14,CO2 ,350.0,0.0,0.0,0
44013,30,2025-07-03 18:16:14,CH4,0.0,0.0,0.0,0
44008,30,2025-07-03 18:16:12,CO2 ,350.0,0.0,0.0,0
44007,30,2025-07-03 18:16:12,CH4,0.0,0.0,0.0,0
44004,30,2025-07-03 18:16:11,CO2 ,350.0,0.0,0.0,0
44003,30,2025-07-03 18:16:11,CH4,0.0,0.0,0.0,0
43998,30,2025-07-03 18:16:10,CO2 ,350.0,0.0,0.0,0
43997,30,2025-07-03 18:16:10,CH4,0.0,0.0,0.0,0
43982,30,2025-07-03 18:16:06,CO2 ,351.0,0.0,0.0,0
43981,30,2025-07-03 18:16:06,CH4,0.0,0.0,0.0,0
43974,30,2025-07-03 18:16:04,CO2 ,-2.0,0.0,0.0,0
43973,30,2025-07-03 18:16:04,CH4,0.0,0.0,0.0,0
43966,30,2025-07-03 18:16:03,CO2 ,350.0,0.0,0.0,0
43965,30,2025-07-03 18:16:03,CH4,0.0,0.0,0.0,0
43960,30,2025-07-03 18:16:02,CO2 ,350.0,0.0,0.0,0
43959,30,2025-07-03 18:16:02,CH4,0.0,0.0,0.0,0
43954,30,2025-07-03 18:16:01,CO2 ,350.0,0.0,0.0,0
43953,30,2025-07-03 18:16:01,CH4,0.0,0.0,0.0,0
43948,30,2025-07-03 18:15:59,CO2 ,350.0,0.0,0.0,0
43947,30,2025-07-03 18:15:59,CH4,0.0,0.0,0.0,0
43942,30,2025-07-03 18:15:58,CO2 ,350.0,0.0,0.0,0
43941,30,2025-07-03 18:15:58,CH4,0.0,0.0,0.0,0
43936,30,2025-07-03 18:15:57,CO2 ,350.0,0.0,0.0,0
43935,30,2025-07-03 18:15:57,CH4,0.0,0.0,0.0,0
43930,30,2025-07-03 18:15:56,CO2 ,350.0,0.0,0.0,0
43929,30,2025-07-03 18:15:56,CH4,0.0,0.0,0.0,0
43924,30,2025-07-03 18:15:54,CO2 ,350.0,0.0,0.0,0
43923,30,2025-07-03 18:15:54,CH4,0.0,0.0,0.0,0
43918,30,2025-07-03 18:15:53,CO2 ,350.0,0.0,0.0,0
43917,30,2025-07-03 18:15:53,CH4,0.0,0.0,0.0,0
43910,30,2025-07-03 18:15:52,CO2 ,350.0,0.0,0.0,0
43909,30,2025-07-03 18:15:52,CH4,0.0,0.0,0.0,0
43902,30,2025-07-03 18:15:51,CO2 ,351.0,0.0,0.0,0
43901,30,2025-07-03 18:15:51,CH4,0.0,0.0,0.0,0
43894,30,2025-07-03 18:15:49,CO2 ,-2.0,0.0,0.0,0
43893,30,2025-07-03 18:15:49,CH4,0.0,0.0,0.0,0
43886,30,2025-07-03 18:15:48,CO2 ,350.0,0.0,0.0,0
43885,30,2025-07-03 18:15:48,CH4,0.0,0.0,0.0,0
43878,30,2025-07-03 18:15:47,CO2 ,350.0,0.0,0.0,0
43877,30,2025-07-03 18:15:47,CH4,0.0,0.0,0.0,0
43872,30,2025-07-03 18:15:46,CO2 ,350.0,0.0,0.0,0
43871,30,2025-07-03 18:15:46,CH4,0.0,0.0,0.0,0
43864,30,2025-07-03 18:15:44,CO2 ,350.0,0.0,0.0,0
43863,30,2025-07-03 18:15:44,CH4,0.0,0.0,0.0,0
43858,30,2025-07-03 18:15:43,CO2 ,350.0,0.0,0.0,0
43857,30,2025-07-03 18:15:43,CH4,0.0,0.0,0.0,0
43850,30,2025-07-03 18:15:42,CO2 ,351.0,0.0,0.0,0
43849,30,2025-07-03 18:15:42,CH4,0.0,0.0,0.0,0
43842,30,2025-07-03 18:15:41,CO2 ,350.0,0.0,0.0,0
43841,30,2025-07-03 18:15:41,CH4,0.0,0.0,0.0,0
43834,30,2025-07-03 18:15:39,CO2 ,350.0,0.0,0.0,0
43833,30,2025-07-03 18:15:39,CH4,0.0,0.0,0.0,0
43824,30,2025-07-03 18:15:38,CO2 ,350.0,0.0,0.0,0
43823,30,2025-07-03 18:15:38,CH4,0.0,0.0,0.0,0
43816,30,2025-07-03 18:15:37,CO2 ,351.0,0.0,0.0,0
43815,30,2025-07-03 18:15:37,CH4,0.0,0.0,0.0,0
43806,30,2025-07-03 18:15:35,CO2 ,351.0,0.0,0.0,0
43805,30,2025-07-03 18:15:35,CH4,0.0,0.0,0.0,0
43788,30,2025-07-03 18:15:31,CO2 ,-2.0,0.0,0.0,0
43787,30,2025-07-03 18:15:31,CH4,0.0,0.0,0.0,0
43782,30,2025-07-03 18:15:30,CO2 ,350.0,0.0,0.0,0
43781,30,2025-07-03 18:15:30,CH4,0.0,0.0,0.0,0
43774,30,2025-07-03 18:15:29,CO2 ,351.0,0.0,0.0,0
43773,30,2025-07-03 18:15:29,CH4,0.0,0.0,0.0,0
43768,30,2025-07-03 18:15:27,CO2 ,350.0,0.0,0.0,0
43767,30,2025-07-03 18:15:27,CH4,0.0,0.0,0.0,0
43762,30,2025-07-03 18:15:26,CO2 ,350.0,0.0,0.0,0
43761,30,2025-07-03 18:15:26,CH4,0.0,0.0,0.0,0
43754,30,2025-07-03 18:15:25,CO2 ,350.0,0.0,0.0,0
43753,30,2025-07-03 18:15:25,CH4,0.0,0.0,0.0,0
43746,30,2025-07-03 18:15:24,CO2 ,350.0,0.0,0.0,0
43745,30,2025-07-03 18:15:24,CH4,0.0,0.0,0.0,0
43738,30,2025-07-03 18:15:22,CO2 ,350.0,0.0,0.0,0
43737,30,2025-07-03 18:15:22,CH4,0.0,0.0,0.0,0
43730,30,2025-07-03 18:15:21,CO2 ,352.0,0.0,0.0,0
43729,30,2025-07-03 18:15:21,CH4,0.0,0.0,0.0,0
43724,30,2025-07-03 18:15:20,CO2 ,353.0,0.0,0.0,0
43723,30,2025-07-03 18:15:20,CH4,0.0,0.0,0.0,0
43718,30,2025-07-03 18:15:19,CO2 ,352.0,0.0,0.0,0
43717,30,2025-07-03 18:15:19,CH4,0.0,0.0,0.0,0
43712,30,2025-07-03 18:15:17,CO2 ,350.0,0.0,0.0,0
43711,30,2025-07-03 18:15:17,CH4,0.0,0.0,0.0,0
43704,30,2025-07-03 18:15:16,CO2 ,351.0,0.0,0.0,0
43703,30,2025-07-03 18:15:16,CH4,0.0,0.0,0.0,0
43696,30,2025-07-03 18:15:15,CO2 ,351.0,0.0,0.0,0
43695,30,2025-07-03 18:15:15,CH4,0.0,0.0,0.0,0
43688,30,2025-07-03 18:15:14,CO2 ,350.0,0.0,0.0,0
43687,30,2025-07-03 18:15:14,CH4,0.0,0.0,0.0,0
43680,30,2025-07-03 18:15:12,CO2 ,-2.0,0.0,0.0,0
43679,30,2025-07-03 18:15:12,CH4,0.0,0.0,0.0,0
43672,30,2025-07-03 18:15:11,CO2 ,353.0,0.0,0.0,0
43671,30,2025-07-03 18:15:11,CH4,0.0,0.0,0.0,0
43664,30,2025-07-03 18:15:10,CO2 ,351.0,0.0,0.0,0
43663,30,2025-07-03 18:15:10,CH4,0.0,0.0,0.0,0
43644,30,2025-07-03 18:15:06,CO2 ,350.0,0.0,0.0,0
43643,30,2025-07-03 18:15:06,CH4,0.0,0.0,0.0,0
43636,30,2025-07-03 18:15:05,CO2 ,350.0,0.0,0.0,0
43635,30,2025-07-03 18:15:05,CH4,0.0,0.0,0.0,0
